iter	MultiClass
0	1.589146965
1	1.563457003
2	1.539492355
3	1.516682091
4	1.491339251
5	1.474409009
6	1.456660474
7	1.438998538
8	1.427261078
9	1.409799057
10	1.396291185
11	1.380164924
12	1.367508527
13	1.349778596
14	1.338367396
15	1.326293624
16	1.312075894
17	1.296597397
18	1.282943157
19	1.26877393
20	1.256186834
21	1.246964083
22	1.238367822
23	1.228361872
24	1.218680955
25	1.204016092
26	1.192872879
27	1.179251039
28	1.171037195
29	1.158093556
30	1.145362407
31	1.134412669
32	1.12477403
33	1.112561102
34	1.103260976
35	1.093424399
36	1.085576603
37	1.075598998
38	1.067720035
39	1.058406534
40	1.049074203
41	1.03565206
42	1.029490364
43	1.020393158
44	1.011483098
45	1.003045562
46	0.9956513936
47	0.9881525903
48	0.9809142247
49	0.9734265864
50	0.9627526393
51	0.9567951078
52	0.9517999761
53	0.9442363835
54	0.9361078483
55	0.9285419589
56	0.9190288302
57	0.9110469565
58	0.9028933833
59	0.8942846864
60	0.8871805162
61	0.8807278466
62	0.8732849284
63	0.8657480568
64	0.8597940562
65	0.854698546
66	0.8486651254
67	0.840883237
68	0.8330507122
69	0.8264828776
70	0.8211749734
71	0.8153156299
72	0.808513282
73	0.8029356283
74	0.797353681
75	0.7907910586
76	0.7825158782
77	0.7774327686
78	0.7721925831
79	0.7646445232
80	0.7583633469
81	0.7534870695
82	0.7479943691
83	0.7445877687
84	0.7382116241
85	0.7338146824
86	0.7295921423
87	0.7231129494
88	0.7183835583
89	0.713956526
90	0.7095824878
91	0.7052319706
92	0.6998702497
93	0.695551613
94	0.6923138801
95	0.6861008144
96	0.680194034
97	0.6739608398
98	0.66944406
99	0.6652826266
100	0.6598501122
101	0.6560255085
102	0.6510774074
103	0.647123206
104	0.6417416358
105	0.6386724815
106	0.6360701549
107	0.6313503112
108	0.6268742558
109	0.6220888992
110	0.6188822245
111	0.6140679094
112	0.6091212601
113	0.6043024844
114	0.5996192098
115	0.5955887552
116	0.5909128828
117	0.5856707883
