iter	Passed	Remaining
0	15	15069
1	28	14321
2	39	13031
3	48	12190
4	57	11498
5	67	11205
6	78	11076
7	87	10818
8	96	10637
9	105	10445
10	115	10375
11	125	10340
12	134	10209
13	143	10097
14	152	10001
15	161	9912
16	171	9915
17	180	9841
18	190	9813
19	198	9731
20	207	9678
21	216	9624
22	227	9644
23	236	9610
24	245	9583
25	254	9549
26	263	9504
27	273	9501
28	282	9475
29	291	9439
30	300	9391
31	309	9363
32	318	9328
33	328	9325
34	337	9307
35	346	9279
36	355	9239
37	363	9205
38	371	9162
39	380	9133
40	388	9090
41	397	9064
42	406	9046
43	415	9023
44	423	8991
45	431	8957
46	440	8934
47	448	8902
48	457	8878
49	466	8856
50	474	8836
51	483	8819
52	492	8792
53	500	8765
54	509	8748
55	517	8728
56	526	8702
57	534	8677
58	542	8656
59	551	8640
60	560	8624
61	569	8611
62	577	8592
63	586	8573
64	595	8562
65	604	8551
66	612	8535
67	621	8522
68	630	8505
69	638	8485
70	647	8468
71	656	8458
72	664	8437
73	672	8419
74	682	8411
75	690	8395
76	699	8389
77	707	8368
78	717	8362
79	726	8353
80	735	8342
81	744	8332
82	752	8318
83	761	8300
84	769	8286
85	778	8275
86	787	8263
87	796	8255
88	805	8247
89	814	8235
90	822	8219
91	831	8202
92	839	8184
93	848	8178
94	857	8166
95	866	8155
96	874	8145
97	883	8133
98	892	8120
99	901	8115
100	910	8105
101	919	8093
102	927	8078
103	936	8071
104	945	8055
105	954	8049
106	962	8036
107	972	8029
108	980	8018
109	990	8012
110	999	8004
111	1008	7992
112	1016	7982
113	1025	7972
114	1034	7962
115	1044	7962
116	1054	7961
117	1063	7952
118	1073	7948
119	1083	7944
120	1093	7943
121	1103	7940
122	1113	7941
123	1123	7933
124	1133	7937
125	1143	7934
126	1153	7930
127	1163	7923
128	1173	7923
129	1182	7913
130	1192	7908
131	1201	7900
132	1210	7891
133	1220	7885
134	1230	7882
135	1240	7878
136	1249	7874
137	1259	7868
138	1269	7865
139	1280	7863
140	1290	7864
141	1299	7852
142	1309	7850
143	1319	7846
144	1329	7839
145	1337	7826
146	1348	7823
147	1357	7817
148	1367	7808
149	1380	7820
150	1388	7804
151	1396	7790
152	1405	7778
153	1413	7764
154	1422	7752
155	1430	7739
156	1438	7726
157	1447	7711
158	1455	7699
159	1463	7685
160	1472	7673
161	1482	7666
162	1490	7655
163	1499	7645
164	1509	7636
165	1517	7622
166	1526	7612
167	1535	7602
168	1543	7591
169	1552	7580
170	1561	7570
171	1570	7557
172	1579	7548
173	1587	7535
174	1595	7523
175	1604	7512
176	1613	7501
177	1622	7490
178	1630	7478
179	1638	7465
180	1647	7454
181	1656	7444
182	1664	7432
183	1673	7422
184	1682	7411
185	1691	7402
186	1700	7392
187	1709	7383
188	1718	7373
189	1727	7364
190	1736	7353
191	1745	7344
192	1754	7334
193	1763	7325
194	1774	7326
195	1782	7313
196	1791	7301
197	1799	7289
198	1807	7276
199	1816	7267
200	1825	7255
201	1834	7245
202	1843	7236
203	1851	7224
204	1860	7214
205	1868	7203
206	1877	7191
207	1885	7180
208	1894	7171
209	1903	7160
210	1911	7149
211	1920	7136
212	1928	7126
213	1937	7114
214	1945	7104
215	1954	7092
216	1963	7083
217	1971	7072
218	1980	7061
219	1988	7051
220	1997	7040
221	2006	7030
222	2014	7020
223	2024	7012
224	2032	7001
225	2042	6993
226	2050	6982
227	2059	6972
228	2067	6961
229	2076	6952
230	2085	6942
231	2094	6933
232	2102	6920
233	2110	6909
234	2118	6897
235	2127	6888
236	2136	6877
237	2144	6866
238	2153	6857
239	2162	6847
240	2171	6838
241	2180	6828
242	2190	6822
243	2199	6815
244	2209	6807
245	2218	6798
246	2227	6791
247	2237	6784
248	2246	6776
249	2256	6769
250	2265	6761
251	2276	6756
252	2286	6751
253	2296	6744
254	2306	6737
255	2315	6729
256	2324	6721
257	2334	6712
258	2342	6703
259	2351	6692
260	2360	6683
261	2369	6673
262	2378	6663
263	2387	6654
264	2395	6644
265	2404	6634
266	2412	6624
267	2421	6614
268	2430	6604
269	2439	6594
270	2447	6584
271	2456	6575
272	2465	6564
273	2473	6553
274	2481	6542
275	2490	6532
276	2498	6521
277	2506	6510
278	2515	6500
279	2524	6490
280	2533	6481
281	2541	6471
282	2550	6460
283	2558	6450
284	2567	6440
285	2575	6430
286	2588	6430
287	2596	6420
288	2605	6409
289	2613	6398
290	2622	6388
291	2630	6378
292	2639	6368
293	2648	6360
294	2658	6354
295	2667	6345
296	2675	6333
297	2684	6323
298	2692	6313
299	2701	6304
300	2710	6294
301	2719	6284
302	2727	6275
303	2736	6265
304	2745	6255
305	2754	6246
306	2762	6235
307	2771	6227
308	2780	6217
309	2788	6207
310	2797	6198
311	2806	6189
312	2814	6178
313	2823	6167
314	2832	6158
315	2840	6148
316	2849	6139
317	2857	6128
318	2866	6118
319	2874	6108
320	2883	6099
321	2892	6090
322	2901	6082
323	2910	6072
324	2918	6062
325	2927	6052
326	2948	6069
327	2957	6058
328	2965	6048
329	2974	6038
330	2982	6028
331	2992	6020
332	3001	6011
333	3009	6001
334	3018	5991
335	3027	5982
336	3035	5972
337	3044	5962
338	3053	5952
339	3062	5945
340	3070	5934
341	3079	5924
342	3088	5915
343	3096	5905
344	3105	5895
345	3113	5885
346	3122	5876
347	3130	5865
348	3140	5857
349	3148	5846
350	3156	5836
351	3165	5827
352	3174	5817
353	3183	5809
354	3192	5800
355	3200	5790
356	3209	5780
357	3218	5771
358	3226	5761
359	3235	5751
360	3244	5742
361	3253	5733
362	3261	5723
363	3270	5713
364	3278	5704
365	3287	5694
366	3296	5685
367	3305	5676
368	3314	5667
369	3322	5657
370	3332	5649
371	3341	5640
372	3349	5630
373	3358	5622
374	3367	5612
375	3376	5603
376	3385	5593
377	3393	5584
378	3402	5574
379	3410	5564
380	3418	5554
381	3427	5544
382	3435	5535
383	3444	5525
384	3453	5516
385	3461	5506
386	3470	5497
387	3479	5488
388	3488	5479
389	3496	5469
390	3505	5459
391	3514	5450
392	3522	5441
393	3531	5432
394	3540	5422
395	3555	5422
396	3563	5411
397	3571	5401
398	3579	5392
399	3588	5383
400	3598	5375
401	3608	5367
402	3618	5359
403	3626	5350
404	3636	5342
405	3647	5336
406	3656	5327
407	3666	5320
408	3676	5311
409	3686	5305
410	3695	5295
411	3703	5286
412	3712	5276
413	3721	5267
414	3729	5257
415	3738	5248
416	3747	5239
417	3756	5229
418	3764	5220
419	3773	5211
420	3782	5201
421	3790	5191
422	3799	5182
423	3807	5172
424	3816	5163
425	3824	5153
426	3833	5144
427	3842	5135
428	3851	5126
429	3861	5118
430	3870	5109
431	3878	5099
432	3887	5090
433	3896	5081
434	3904	5070
435	3912	5061
436	3920	5051
437	3929	5041
438	3938	5033
439	3947	5024
440	3957	5015
441	3966	5006
442	3974	4997
443	3982	4987
444	3991	4977
445	3999	4967
446	4007	4958
447	4016	4948
448	4025	4939
449	4034	4930
450	4052	4933
451	4061	4924
452	4069	4914
453	4078	4904
454	4086	4894
455	4095	4885
456	4104	4877
457	4114	4868
458	4125	4862
459	4135	4855
460	4145	4846
461	4154	4837
462	4163	4829
463	4173	4820
464	4183	4813
465	4193	4804
466	4203	4797
467	4213	4789
468	4223	4781
469	4232	4773
470	4244	4766
